name,state,sector,ecosystem,sub_ecosystem,sub_ecosystem_sub_class,ceo_gender,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
First Bank of Nigeria,Lagos,Private Sector,Funding,Loan Providers,,Male,Dr Adesola Kazeem Adeduntan,https://www.firstbanknigeria.com,firstcontact@firstbanknigeria.com,(234) 1 905 2326,http://facebook.com/firstbankofnigeria,http://instagram.com/firstbanknigeria,https://www.linkedin.com/company/first-bank-of-nigeria-plc,http://twitter.com/firstbankngr,"Samuel Asabia House, 35 Marina st, Lagos, Nigeria"
Zenith Bank,Lagos,Private Sector,Funding,Loan Providers,,Male,Ebenezer N. Onyeagwu,https://www.zenithbank.com,zenithdirect@zenithbank.com,234-1-2787000,https://www.facebook.com/Zenithbank,https://www.instagram.com/zenithbankplc/,https://www.linkedin.com/company/zenith-bank-group,https://twitter.com/ZenithBank,"87 Ajose Adeogun St, Victoria Island, Lagos"
Fidelity Bank,Lagos,Private Sector,Funding,Loan Providers,,,,https://www.fidelitybank.ng,true.serve@fidelitybank.ng,0700 343 35489,https://www.facebook.com/FidelityBankplc,https://instagram.com/fidelitybankplc/,https://www.linkedin.com/company/fidelitybankplc,https://twitter.com/fidelitybankplc,"2, Kofo Abayomi Street, Victoria Island"
United Bank of Africa (UBA),Lagos,Private Sector,Funding,Loan Providers,,Male,Kennedy Uzoka,https://www.ubagroup.com/,cfc@ubagroup.com,(234) 700 2255,https://www.facebook.com/ubagroup/,https://www.instagram.com/ubagroup/,https://www.linkedin.com/company/uba/,https://twitter.com/ubagroup,"57 Marina, Lagos Island, Lagos"
Central Bank of Nigeria (CBN),Abuja,Public Sector,Funding,Loan Providers,,Male,Godwin Emefiele,cbn.gov.ng,contactcbn@cbn.gov.ng,+234 700 225 5226,ttps://web.facebook.com/cenbankng/,,linkedin.com/in/central-bank-of-nigeria-68611917,twitter.com/cenbank,"Plot 33, Abubakar Tafawa Balewa Way"
Dangote Foundation,,Development Sector,Funding,Loan Providers,,Male,Aliko Dangote,https://www.dangote.com/foundation/?fbclid=IwAR3cndua08ACns4r78ZNbQjdwxGWvAUs5ZlEshWoG5zgq7iV6hAswcobooM,communications@dangote.com," +234 1 448 0815, ",https://www.facebook.com/AlikoDangoteFDN/,,,https://twitter.com/AlikoDangoteFdn,
GroFin,Lagos,Private Sector,Funding,Loan Providers,,Male,Brienne van der Walt,https://grofin.com/contact/grofin-nigeria-lagos/,lagos@grofin.com,+234 705 696 6666 ,https://www.facebook.com/GroFinGroup/,https://www.instagram.com/grofin_group/,https://www.linkedin.com/company/grofin/,https://twitter.com/grofin,"23, Oba Akinjobi Way, G.R.A"
International Finance Corporation (IFC),Lagos,Private Sector,Funding,Loan Providers,,Male,Philippe Le Houérou,https://www.ifc.org/wps/wcm/connect/RegProjects_Ext_Content/IFC_External_Corporate_Site/ESMID_Home/Contacts/,comms@ifc.org,+234 1 262 6455/64,https://www.facebook.com/IFCwbg,https://www.instagram.com/ifc_org/,https://www.linkedin.com/company/ifclinkedin/,https://twitter.com/IFC_org,"Plot 121, Louis Solomon Close, Off Ahmadu Bello Way"
Kaduna Start-up Entrepreneurship Programme (KADSTEP),Kaduna,Development Sector,Funding,Grant Providers,,,,https://kadunastep.com,info@kadstep.com,+234 703 193 3321,https://www.facebook.com/stepinkaduna,,,https://twitter.com/kadstep,"17, Gobarau Road"
Lagos State Employment Trust Fund (LSETF),Lagos,Public Sector,Funding,Loan Providers,,,,http://www.lsetf.ng/,,01-7000969,https://www.facebook.com/lsetfng/,https://www.instagram.com/lsetf/,,https://twitter.com/lsetf/,"16, Billings Way"
Lidya,Lagos,Private Sector,Funding,Loan Providers,,Male,Tunde Kehinde,https://www.lidya.co/,info@lidya.co,,https://www.facebook.com/LidyaNigeria/,https://www.instagram.com/lidyadotco/,https://www.linkedin.com/company/lidyadotco/,https://twitter.com/lidyadotco,"2b , Oko Awo Street"
Nigeria Incentive- Based Risk Sharing System for Agricultural Lending (NIRSAL),Abuja,Development Sector,Funding,Loan Providers,,Male,Aliyu A. Abdulhameed,https://nirsal.com,info@nirsal.com,+234(0)813 988 2220,https://www.facebook.com/nirsalconnect/,https://www.instagram.com/nirsalplc/,https://www.linkedin.com/company/nirsalconnect/,https://twitter.com/nirsalconnect,"1581, Tigris Crescent"
Oxfam,Abuja,Development Sector,Funding,Grant Providers,,Female,Cecil Jackson-Cole,https://nigeria.oxfam.org,,+234 7086 625 290,https://www.facebook.com/OxfaminNigeria,,,https://twitter.com/Oxfaminnigeria,"11, Ganges Street, Off Alvan Ikoku Way"
Sahara Group,Lagos,Development Sector,Funding,Grant Providers,,Male,Tonye Patrick Cole,http://www.sahara-group.com/,sahara@sahara-group.com,,https://www.facebook.com/iamsaharagroup/,,https://www.linkedin.com/company/sahara-group_374981/?originalSubdomain=ng,,"7A, Fowler Road"
Shell LiveWire,Lagos,Development Sector,Funding,Grant Providers,,Male,Ben van Beurden,https://ng.livewire.shell,ShellNigeria@Shell.com,8070322234,https://www.facebook.com/Shell,https://www.instagram.com/shell/,https://www.linkedin.com/company/shell/,https://twitter.com/Shell_Nigeria,"21/22, Freeman House"
Tony Elumelu Foundation,Lagos,Development Sector,Funding,Grant Providers,,Male,Tony Elumelu,http://www.tonyelumelufoundation.org/,enquiries@tonyelumelufoundation.org,234 1 2774641 5,https://www.facebook.com/thetonyelumelufoundation/,https://www.instagram.com/tonyelumelufoundation/,https://www.linkedin.com/company/tony-elumelu-foundation/,https://twitter.com/TonyElumeluFDN,"1, MacGregor Road"
Alitheia Capital,Lagos,Private Sector,Funding,Equity Funders,Venture Capital,Female,Tokunboh Ishmael,http://www.thealitheia.com,info@thealitheia.com,,,,https://www.linkedin.com/company/alitheia-capital/?originalSubdomain=ng,https://twitter.com/thealitheia?lang=en,"22b, 2nd floor (the UBA Building), Idowu Taylor Street"
GreenHouse Capital,Lagos,Private Sector,Funding,Equity Funders,Venture Capital,Male,Kunmi Demuren,http://greenhouse.capital,info@greenhouse.capital,,https://www.facebook.com/GreenHouseCap/about/,https://www.instagram.com/greenhousecapital/?hl=en,https://www.linkedin.com/company/greenhouse-capital-africa/?originalSubdomain=ng,https://twitter.com/GreenHouseCap_?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor," 42, Vibranium Valley, Local Airport Road"
Growth Capital,Lagos,Private Sector,Funding,Loan Providers,,Male,Bosun Tijani,https://gc.fund,info@gc.fund,+234 (01) 2934177,https://www.facebook.com/nextgenfund,,,https://twitter.com/nextgenfund,"294, Herbert Macaulay Way"
Doreo Partners,,Private Sector,Funding,Equity Funders,Venture Capital,,,,,,,,,https://twitter.com/doreopartners?lang=en,
Echo VC,Lagos,Private Sector,Funding,Equity Funders,Venture Capital,Male,Eghosa Omoigui,http://www.echovc.com/contact,,,,,,https://twitter.com/echovc?lang=en,"33, Waziri Ibrahim Cres"
Lagos Angel Network (LAN),Lagos,Private Sector,Funding,Equity Funders,Angel Investors,Male,Harry Tomi Davies,https://lagosangelnetwork.net,secretariat@lagosangelnetwork.net,,https://www.facebook.com/ekonetwork/,,,https://twitter.com/EkoNetwork,"17,  Chapel Street, Off Commercial Avenue"
Omidyar Network,,Private Sector,Funding,Grant Providers,,Male,Pierre Omidyar,https://omidyar.com,,,,,,,
Private Sector Health Alliance of Nigeria (PHN),Lagos,Private Sector,Funding,Equity Funders,,Male,Muntaqa Umar-sadiq,http://www.pshan.org/,communications@pshan.org,(01)4549079,https://web.facebook.com/Private-Sector-Health-Alliance-699885250056642/?_rdc=1&_rdr,https://www.instagram.com/phn_alliance/,,https://twitter.com/phn_alliance,"6th Floor Zenon House, 2, Ajose Adeogun"
Singularity Investments,Lagos,Private Sector,Funding,Equity Funders,Venture Capital,Male,Sam Darwish,https://www.singularityinvest.com,InfoAfrica@singularityinvest.com,+234 (0) 809 146 6964,,,https://www.linkedin.com/company/singularity-investments,https://twitter.com/singularityinv,"24 , Balarabe Musa Crescent"
Co- Creation Hub (CCHub),Lagos,Private Sector,Funding,Equity Funders,Venture Capital,Male,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
Ventures Platform,,Private Sector,Funding,Equity Funders,Venture Capital,Male,Kola Aina,www.venturesplatform.com,hello@venturesplatform.com,234 809 041 5327,https://web.facebook.com/VPlatformHub/?ref=bookmarks&_rdc=1&_rdr,https://www.instagram.com/vplatformhub/,,https://twitter.com/vplatformhub,"Legacy place, Plot 1619 Danmole Street, Off Idejo Street, Victoria Island"
Farmcrowdy,Lagos,Private Sector,Funding,Crowdfunding,,Male,Onyeka Akumah,https://farmcrowdy.com,nfo@farmcrowdy.com,+234 706 796 3016,https://www.facebook.com/farmcrowdy,https://www.instagram.com/farmcrowdyng/,https://www.linkedin.com/company/farmcrowdy/,https://twitter.com/farmcrowdy,"No 2, Opeyemisi Bamidele Crescent, Off Freedom Way, Ikate"
FUNDANENTERPRISE,Lagos,Private Sector,Funding,Crowdfunding,,,,https://fundanenterprise.org,support@fundanenterprise.org,(234) 903 002 2124,https://fundanenterprise.org/aboutus/?share=facebook&nb=1,,https://fundanenterprise.org/aboutus/?share=linkedin&nb=1,https://fundanenterprise.org/aboutus/?share=twitter&nb=1,"26 Chief Paddy Offor Street, Greenfield Estate, Ago Palaceway, Okota, Lagos"
Imeela,Abia,Private Sector,Funding,Crowdfunding,,,,https://imeela.com,info@imeela.com,+41 (0) 78 310 8275,https://www.facebook.com/imeeela?fref=ts,https://www.instagram.com/imeela_ng/,,https://twitter.com/imeela_NG,"109, St. Michael’s Road"
The Next Economy,,Private Sector,Funding,Loan Providers,,Male,Amanda Cahill,http://www.next-economy.com/,info@next-economy.com,,https://www.facebook.com/thenexteconomy,,,,
CRC Credit Bureau,Lagos,Private Sector,Funding,Loan Providers,,Male,Popoola Ahmed Tunde,http://www.crccreditbureau.com,contactus@crccreditbureau.com,0807 209 0622,https://www.facebook.com/CRCCreditBureau,https://www.instagram.com/CRCCreditBureau/,https://www.linkedin.com/company/credit-reference-company/,https://twitter.com/CRCCreditBureau,"26, 2nd Floor, 26 McCarthy Street"
Enhancing Financial Innovation & Access (EFInA),Lagos,Private Sector,Funding,Loan Providers,,Female,Ashley Immanuel,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
National Collateral Registry of Nigeria,Abuja,Public Sector,Funding,Loan Providers,,,,www.ncr.gov.ng,,234 90624 76801,Facebook.com/collateralregng,instagram.com/collateralregistryng,,Twitter.com/NGCollateralREG,"1581, Tigris Crescent"
XDS Credit Bureau,Lagos,Private Sector,Funding,Loan Providers,,Female,Mobolanle Adesanya,https://firstcentralcreditbureau.com,info@firstcentralcreditbureau.com,,https://www.facebook.com/firstcentralng,,,https://twitter.com/firstcentralng,"37/37A , Raymond Njoku Street"
Nigerian Export- Import (NEXIM) Bank,Abuja,Public Sector,Market Access,Organizations,,Male,Abubakar A. Bello,https://neximbank.com.ng,neximabj@neximbank.com.ng,(+234) 9 4603630 – 9,https://www.facebook.com/Neximbank/,https://www.instagram.com/neximbank/?hl=en,https://www.linkedin.com/company/nigerian-export-import-bank---nexim/,https://twitter.com/NeximBank,"975, Cadastral Zone AO, Central Business District"
Nigerian Export Promotion Council (NEPC),Abuja,Public Sector,Market Access,Organizations,,Male,Olusegun Awolowo,https://nepc.gov.ng,ceo@nepc.gov.ng,+234 (9) 462 1555,https://www.facebook.com/TheNEPC/,,,,"Plot 424, Aguiyi Ironsi Street"
AFEX Holdings,Lagos,Private Sector,Market Access,Organizations,,Male,Ayodeji Balogun,,,,,,,,
Babban Gona,Lagos,Private Sector,Market Access,Organizations,,Male,Kola Masha,http://www.babbangona.com/,info@babbangona.com,,https://www.facebook.com/OfficialBabbanGona/,https://www.instagram.com/babban.gona/?fbclid=IwAR0xA2yZgmLnvtgkV14kYBbTW9is_uQwBGdgX1HzwXZnXiQ2-0qanj_b6Zk,,https://twitter.com/BabbanGona?fbclid=IwAR0xA2yZgmLnvtgkV14kYBbTW9is_uQwBGdgX1HzwXZnXiQ2-0qanj_b6Zk,"12, Professor Olagoke Olabisi Street"
Institute of Export Operations Management (IOEM),Rivers,Private Sector,Market Access,Organizations,,Male,Udofia ofonasaha,http://www.ieom-ng.org/,info@ieom-ng.org,+234 808 302 9491,https://www.facebook.com/ieomng,https://www.instagram.com/ieomng/,https://www.linkedin.com/company/institute-of-export-operations-and-management-ieom-nigeria/,https://twitter.com/ieomng,"158, Iwofe/University Road, Off Ada George"
Manufacturers Association of Nigeria (MAN),Lagos,Private Sector,Market Access,Organizations,,Male,Segun Ajayi Kadir,https://www.manufacturersnigeria.org,nfo@manufacturersnigeria.org,01-4542700,https://www.facebook.com/ManufacturersNigeria/,,,https://twitter.com/MAN_NGR?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"77, Obafemi Awolowo Way"
Quintessential Business Women Association,,Private Sector,Market Access,Organizations,,,,http://nqbwa.org/,,,https://www.facebook.com/QBWAafrica/,,,,
Wicklow Group,Lagos,Private Sector,Market Access,Organizations,,Male,Chinedu Okeke,https://wicklow-group.com,info@wicklow-group.com,0812 942 5569,,,,,"21 , Boyle Street"
Jumia,Lagos,Technology,Market Access,Tech Platforms,,Male,Jeremy Hodara,https://www.jumia.com.ng,,0700 600 0000,https://www.facebook.com/jumia.com.ng/,https://www.instagram.com/jumianigeria/,,https://twitter.com/JumiaNGHelp,"109 , Adeniyi Jones Ave"
Konga,Lagos,Technology,Market Access,Tech Platforms,,Male,Sim Shagaya,http://www.konga.com/,help@konga.com,7080635700,https://www.facebook.com/ShopKonga,https://www.instagram.com/shopkonga/,,https://twitter.com/shopkonga,"1, CIPM Road"
Jiji,,Technology,Market Access,Tech Platforms,,,,https://jiji.ng,support@jiji.ng,,https://www.facebook.com/Jiji.Nigeria,https://www.instagram.com/jijinigeria/,,https://twitter.com/jijinigeria,"350 Borno Way, Somolu"
Blue Hub,,Technology,Business support,Resources,,Female,Maryam Gwadabe,https://t.co/4lzd5Li6Be?amp=1,,,,,,https://twitter.com/bluehubng_?lang=en,
Co- Creation Hub (CCHub),Lagos,Technology,Business support,Resources,,Male,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
CoLab,Kaduna,Technology,Business support,Resources,,Male,Sanusi Ismaila,https://colab.com.ng,hi@colab.com.ng,2.35E+12,https://web.facebook.com/CoLabkd/?_rdc=1&_rdr,https://www.instagram.com/CoLabkd/,,https://twitter.com/CoLab_kd/,"4,  Barnawa Close"
Delta State Innovation Hub,Delta,Technology,Business support,Resources,,Male,Chris Uwaje,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Enspire Hub,Abuja,Technology,Business support,Resources,,Male,Bankole Oloruntoba,http://www.enspire.org.ng/,info@enspire.org.ng,0909 000 0952,https://web.facebook.com/enspireincubator/?_rdc=1&_rdr,https://www.instagram.com/enspireatv/,,https://twitter.com/enspireatv,"No 22, Aguiyi Ironsi Way, Maitama "
Founders Hub,Kwara,Technology,Business support,Resources,,Male,Adeyinka Adekeye,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Technology,Business support,Resources,,,,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
Ideation Hub,,Technology,Business support,Resources,,Female,Debola Deji-Kurunmi,,,,,,,,
Leadpath Nigeria,Lagos,Technology,Business support,Resources,,Male,Olumide Soyombo,http://leadpath.com.ng/,,,https://www.facebook.com/leadpathng/,,,https://twitter.com/leadpathng?lang=en,"70, Olonode Street, Off Hughes Avenue"
NHub,Jos,Technology,Business support,Resources,,Male,Daser David,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers,Technology,Business support,Resources,,Male,Bruce Lucas,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Technology,Business support,Resources,,Male,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Technology,Business support,Resources,,Male,Charles Emembolu,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Technology,Business support,Resources,,Male,Tony Onuk,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Technology,Business support,Resources,,Male,Chinedu Amah,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Technology,Business support,Resources,,Male,Hanson Johnson,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Technology,Business support,Resources,,Female,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Technology,Business support,Resources,,Female,Omotola Agbi,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Technology,Business support,Resources,,,,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,,Technology,Business support,Resources,,Female,Rosaline G. Agiamoh,http://www.tangenthub.ng/,info@tangenthub.com.ng,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,https://www.instagram.com/TangentHubNG/?fbclid=IwAR1Dnr6I86z9BJ9YLSY5KMDAz1gl6wGl7OTDBLPV7807d_Bg7VCSx08E2UI,,https://twitter.com/Tangent_Hub?fbclid=IwAR1T6l__smSFfCZ2fpshNWd9PuQc2vnievU6OqAET8wR-Vi9i_x2C84ifDQ,
The Tangent Eco- Innovation Hub,Abuja,Technology,Business support,Resources,,Male,Dami Lawal,,,,,,,,"2, 3rd Floor , NEPZA Building, Zambezi Crescent"
Ventures Platform,,Technology,Business support,Resources,,Male,Kola Aina,www.venturesplatform.com,hello@venturesplatform.com,234 809 041 5327,https://web.facebook.com/VPlatformHub/?ref=bookmarks&_rdc=1&_rdr,https://www.instagram.com/vplatformhub/,,https://twitter.com/vplatformhub,"Legacy place, Plot 1619 Danmole Street, Off Idejo Street, Victoria Island"
We Hub,,Technology,Business support,Resources,,,,,,,,,,,
Wennovation Hub,Oyo,Technology,Business support,Resources,,Male,Wole Odetayo,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
MSMEHub,Lagos,Technology,Business support,Resources,,,,https://msmehub.org,msmehub@fatefoundation.org,0817 874 4722,https://www.facebook.com/FATEmsmehub,https://www.instagram.com/msmehub/,https://www.linkedin.com/company/msmehub/,https://twitter.com/MsmeHub,"1st Floor, Lagos State Water Corporation, Water House,"
SME Toolkit nigeria,,Technology,Business support,Resources,,,,https://smetoolkit.ng/,edc@smetoolkit.ng,,https://www.facebook.com/SMEToolkit.NG/,,,https://twitter.com/smetoolkitng?lang=en,
SMEDAN Credit Information Portal,Abuja,Technology,Business support,Resources,,,,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
TechPoint,Lagos,Technology,Business support,Resources,,Male,Adewale Yusuf,https://techpoint.africa/,info@techpoint.africa,0818 601 6629,https://www.facebook.com/TechpointAfrica/,https://www.instagram.com/techpointafrica/,https://www.linkedin.com/company/techpoint-ng/,https://twitter.com/techpointdotng,"8, Adebayo Mokuolu street, Beside Hotel Newcastle"
PKF Nigeria,Lagos,Private Sector,Business support,Business Advisory,Tax,Male,Tajudeen A. Akande,http://www.pkf-ng.com,lagos@pkf-ng.com,234 9030001351,https://web.facebook.com/PkfProfessionalServices/?_rdc=1&_rdr,,,https://twitter.com/PKFNigeria,"PKF House, 205A Ikorodu Road, Obanikoro"
PWC Nigeria,Lagos,Private Sector,Business support,Business Advisory,Tax,Male,Bob Moritz,https://www.pwc.com/ng/en.html,ng_pwc.enquiry@pwc.com,[+234] (1) 2711700,https://www.facebook.com/PwCNigeria,,https://www.linkedin.com/company/pwc_nigeria,https://twitter.com/PwC_Nigeria,
KPMG Group,Lagos,Private Sector,Business support,Business Advisory,Tax,Male,William B. Thomas,https://home.kpmg/ng/en/home.html,helpdesk@ng.kpmg.com,+234 1 271 8955,https://www.facebook.com/kpmg.ng?ref=aymt_homepage_panel,https://www.instagram.com/kpmg_nigeria/,https://www.linkedin.com/company/kpmg_nigeria/?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,https://twitter.com/kpmg_ng,"KPMG Tower, Bishop Aboyade Cole Street"
PKF Nigeria,Lagos,Private Sector,Business support,Business Advisory,Book-Keeping,Male,Tajudeen A. Akande,http://www.pkf-ng.com,lagos@pkf-ng.com,234 9030001351,https://web.facebook.com/PkfProfessionalServices/?_rdc=1&_rdr,,,https://twitter.com/PKFNigeria,"PKF House, 205A Ikorodu Road, Obanikoro"
Workforce Group,Lagos,Private Sector,Business support,Business Advisory,Human Resources,Male,Foluso Aribisala,https://workforcegroup.com,hello@workforcegroup.com,090 3194 6744,https://www.facebook.com/workforcegroupng,https://www.instagram.com/workforcegroup/,https://www.linkedin.com/company/workforce-group,https://twitter.com/workforce_group,"Plot 9, Gbagada Industrial Scheme, beside UPS, Gbagada-Oworonshoki Expressway, Lagos"
MyJobMag,Lagos,Private Sector,Business support,Business Advisory,Human Resources,,,https://www.myjobmag.com/,services@myjobmag.com,7066839654,https://www.facebook.com/myjobmag,,https://www.linkedin.com/company/myjobmag-com/,https://twitter.com/myjobmag,"7 Atunwa Street, Ikeja, Lagos Nigeria"
Workforce Group,Lagos,Private Sector,Business support,Business Advisory,Mentoring,Male,Foluso Aribisala,https://workforcegroup.com,hello@workforcegroup.com,090 3194 6744,https://www.facebook.com/workforcegroupng,https://www.instagram.com/workforcegroup/,https://www.linkedin.com/company/workforce-group,https://twitter.com/workforce_group,"Plot 9, Gbagada Industrial Scheme, beside UPS, Gbagada-Oworonshoki Expressway, Lagos"
Alliance Law Firm,Lagos,Private Sector,Business support,Business Advisory,Legal,Male,Uche Val Obi,https://www.alliancelf.com/,info@alliancelf.com,234-1-9035352-5,https://www.facebook.com/AllianceLF/,,https://www.linkedin.com/company/alliancef/,https://twitter.com/AllianceLF,"Alliance House, 71 Ademola Street, SW Ikoyi, Lagos,"
Law Padi,Lagos,Private Sector,Business support,Business Advisory,Legal,Male,Babatunde Ibidapo-Obe,https://lawpadi.com,contact@lawpadi.com,,https://web.facebook.com/LawPadi/?_rdc=1&_rdr,https://www.instagram.com/lawpadi/,,https://twitter.com/lawpadi_,"10 Hughes Avenue, Alagomeji Yaba, Lagos, Nigeria"
Law Nation,Lagos,Private Sector,Business support,Business Advisory,Legal,,,https://lawnations.com,info@lawnations.com,8038625288,https://www.facebook.com/lawnationng,https://www.instagram.com/lawnation_/?hl=en,https://www.linkedin.com/company/lawnation/?viewAsMember=true,https://twitter.com/lawnation_,"33 Olowu Street, off Obafemi Awolowo Way, Ikeja. Lagos"
Advocaat Law Practice,Lagos,Private Sector,Business support,Business Advisory,Legal,,,http://www.advocaat-law.com,info@advocaat-law.com,234 (1) 2714042,,,https://www.linkedin.com/company/10171950,,"The Services Room, 3rd Floor Law Union House, 14, Hughes Avenue, Yaba"
Resolution Law Firm,Lagos,Private Sector,Business support,Business Advisory,Legal,Male,Olusola Jegede,https://www.resolutionlawng.com,info@resolutionlawng.com,01-453 6833,https://www.facebook.com/resolutionlawfirm?_rdc=1&_rdr,https://www.instagram.com/resolutionlawfirm/,https://www.linkedin.com/company/resolution-law-firm/,https://twitter.com/resolutionlawng,"Second Floor, Alphon House, N0 50/52, Toyin Street, Ikeja, Lagos"
FATE Foundation,Lagos,Development Sector,Business support,Business Advisory,Mentoring,Male,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"st Floor, Lagos State Water Corporation, Water House,"
Entrepreneurship Development Centre - Northeast,Borno,Development Sector,Business support,Business Advisory,Mentoring,,,www.edcnortheast.com.ng,info@edcnortheast.com.ng,8065947021,,,,,"Old Informatics Institute, Njimtillo, Kano Road"
Entrepreneurship Development Centre - Southwest,Oyo,Development Sector,Business support,Business Advisory,Mentoring,,,http://www.edcsouthwest.org/,info@edcsouthwest.org,+234 809 7314 264,https://www.facebook.com/cbnedcsw,,,https://twitter.com/CBN_EDCsw,"Old Social Development Training Centre, Along Sango-UI Road"
